5208,LOTOM
5216,CYMBAL+SNARE+BASS
5224,SNARE+FLTOM
5232,HITOM
5240,HITOM
5248,HITOM+BASS
5256,LOTOM
5264,HITOM
5272,LOTOM+FLTOM
5280,SNARE+FLTOM
5288,
5296,HITOM+BASS
5304,LOTOM
5312,HITOM
5320,LOTOM
5328,HITOM
5336,HIHAT+LOTOM
5344,HIHAT+SNARE
5352,
5360,FLTOM
5368,
5376,HITOM+BASS
5384,LOTOM
5392,HITOM
5400,LOTOM+FLTOM
5408,SNARE+FLTOM
5416,
5424,HITOM+BASS
5432,LOTOM
5440,HITOM
5448,LOTOM
5456,HITOM
5464,HIHAT+LOTOM
5472,HIHAT+SNARE
5480,
5488,FLTOM
5496,
5504,HITOM+BASS
5512,LOTOM
5520,HITOM
5528,LOTOM+FLTOM
5536,SNARE+FLTOM
5544,
5552,HITOM+BASS
5560,LOTOM
5568,HITOM
5576,LOTOM
5584,HITOM
5592,HIHAT+LOTOM
5600,HIHAT+SNARE
5608,
5616,FLTOM
5624,
5632,HITOM+BASS
5640,LOTOM
5648,HITOM
5656,LOTOM+FLTOM
5664,SNARE+FLTOM
5672,
5680,HITOM+BASS
5688,LOTOM
5696,HITOM
5704,LOTOM
5712,HITOM
5720,LOTOM
5728,CYMBAL+SNARE+BASS
5736,SNARE+FLTOM
5744,HITOM
5752,HITOM
5760,HITOM+BASS
5768,LOTOM
5776,HITOM
5784,LOTOM+FLTOM
5792,SNARE+FLTOM
5800,
5808,HITOM+BASS
5816,LOTOM
5824,HITOM
5832,LOTOM
5840,HITOM
5848,HIHAT+LOTOM
5856,HIHAT+SNARE
5864,
5872,FLTOM
5880,
5888,HITOM+BASS
5896,LOTOM
5904,HITOM
5912,LOTOM+FLTOM
5920,SNARE+FLTOM
5928,
5936,HITOM+BASS
5944,LOTOM
5952,HITOM
5960,LOTOM
5968,HITOM
5976,HIHAT+LOTOM
5984,HIHAT+SNARE
5992,
6000,FLTOM
6008,
6016,HITOM+BASS
6024,LOTOM
6032,HITOM
6040,LOTOM+FLTOM
6048,SNARE+FLTOM
6056,
6064,HITOM+BASS
